片段,该片段出现在哪些情绪,帧序号,时长_ms,舵机1_右脚横滚,舵机2_右踝俯仰,舵机3_右膝,舵机4_右髋俯仰,舵机5_右髋横滚,舵机6_右肩,舵机7_右臂旋转,舵机8_右肘,舵机9_左脚横滚,舵机10_左踝俯仰,舵机11_左膝,舵机12_左髋俯仰,舵机13_左髋横滚,舵机14_左肩,舵机15_左臂旋转,舵机16_左肘,头_x_mm,头_y_mm,头_z_mm,左手_x_mm,左手_y_mm,左手_z_mm,右手_x_mm,右手_y_mm,右手_z_mm,质心_x_mm,质心_y_mm,质心_z_mm,根_x_mm,根_y_mm,偏航_度
jugong,neutral/中性/unhappy/不高兴,6,500,500,530,470,430,500,600,680,580,500,470,530,570,500,400,320,420,6.0,0.0,364.3,32.0,154.1,226.2,32.0,10.1,226.2,29.8,4.9,159.1,0.0,0.0,0.0
jugong,neutral/中性/unhappy/不高兴,7,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
squat,neutral/中性/unhappy/不高兴,1,300,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
squat,neutral/中性/unhappy/不高兴,2,500,500,560,360,380,500,540,500,500,500,440,640,620,500,460,500,500,6.0,0.0,316.0,28.0,72.0,142.6,28.0,-72.0,142.6,50.8,0.0,125.7,0.0,0.0,0.0
squat,neutral/中性/unhappy/不高兴,3,400,500,560,360,380,500,540,500,500,500,440,640,620,500,460,500,500,6.0,0.0,316.0,28.0,72.0,142.6,28.0,-72.0,142.6,50.8,0.0,125.7,0.0,0.0,0.0
squat,neutral/中性/unhappy/不高兴,4,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
squat_down,neutral/中性/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
squat_down,neutral/中性/unhappy/不高兴,2,700,500,560,360,380,500,540,500,500,500,440,640,620,500,460,500,500,6.0,0.0,316.0,28.0,72.0,142.6,28.0,-72.0,142.6,50.8,0.0,125.7,0.0,0.0,0.0
squat_up,neutral/中性/unhappy/不高兴,1,250,500,560,360,380,500,540,500,500,500,440,640,620,500,460,500,500,6.0,0.0,316.0,28.0,72.0,142.6,28.0,-72.0,142.6,50.8,0.0,125.7,0.0,0.0,0.0
squat_up,neutral/中性/unhappy/不高兴,2,700,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
lift_left_hand,happy/高兴/neutral/中性/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
lift_left_hand,happy/高兴/neutral/中性/unhappy/不高兴,2,700,500,500,500,500,500,500,500,500,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,8.0,-72.0,198.0,7.7,3.0,164.3,0.0,0.0,0.0
lift_left_hand,happy/高兴/neutral/中性/unhappy/不高兴,3,350,500,500,500,500,500,500,500,500,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,8.0,-72.0,198.0,7.7,3.0,164.3,0.0,0.0,0.0
lift_left_hand,happy/高兴/neutral/中性/unhappy/不高兴,4,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
left_hand,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
left_hand,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,600,500,500,500,500,500,500,500,500,500,500,500,500,500,340,380,580,6.0,0.0,373.0,83.2,129.8,246.1,8.0,-72.0,198.0,8.1,1.7,162.1,0.0,0.0,0.0
left_hand,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
right_hand,happy/高兴/neutral/中性/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
right_hand,happy/高兴/neutral/中性/unhappy/不高兴,2,600,500,500,500,500,500,660,620,420,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,83.2,-14.2,246.1,8.1,1.7,162.1,0.0,0.0,0.0
right_hand,happy/高兴/neutral/中性/unhappy/不高兴,3,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_hand_up,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_hand_up,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,700,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,0.0,0.0,0.0
go_hand_up,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,350,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,0.0,0.0,0.0
go_hand_up,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_hand_up1,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_hand_up1,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,500,500,500,500,500,500,500,500,500,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,8.0,-72.0,198.0,7.7,3.0,164.3,0.0,0.0,0.0
go_hand_up1,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,500,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,0.0,0.0,0.0
go_hand_up1,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
wave,happy/高兴/neutral/中性/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
wave,happy/高兴/neutral/中性/unhappy/不高兴,2,450,500,500,500,500,500,820,740,320,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,68.8,29.3,322.8,7.7,3.0,164.4,0.0,0.0,0.0
wave,happy/高兴/neutral/中性/unhappy/不高兴,3,280,500,500,500,500,500,820,740,220,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,62.7,29.3,332.0,7.5,3.0,164.6,0.0,0.0,0.0
wave,happy/高兴/neutral/中性/unhappy/不高兴,4,280,500,500,500,500,500,820,740,420,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,71.4,29.3,312.1,7.8,3.0,164.0,0.0,0.0,0.0
wave,happy/高兴/neutral/中性/unhappy/不高兴,5,280,500,500,500,500,500,820,740,220,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,62.7,29.3,332.0,7.5,3.0,164.6,0.0,0.0,0.0
wave,happy/高兴/neutral/中性/unhappy/不高兴,6,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
chest,happy/高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
chest,happy/高兴,2,500,500,500,500,500,500,680,620,280,500,500,500,500,500,320,380,720,6.0,0.0,373.0,96.0,129.8,276.7,96.0,-14.2,276.7,11.1,3.5,165.3,0.0,0.0,0.0
chest,happy/高兴,3,400,500,500,500,500,500,680,620,280,500,500,500,500,500,320,380,720,6.0,0.0,373.0,96.0,129.8,276.7,96.0,-14.2,276.7,11.1,3.5,165.3,0.0,0.0,0.0
chest,happy/高兴,4,450,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
twist,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,250,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
twist,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,400,530,500,500,500,420,560,500,500,470,500,500,500,580,440,500,500,6.0,0.0,363.6,37.8,72.0,192.3,37.8,-72.0,192.3,7.7,-21.7,154.9,0.0,0.0,0.0
twist,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,400,470,500,500,500,580,440,500,500,530,500,500,500,420,560,500,500,6.0,0.0,363.6,-21.8,72.0,192.3,-21.8,-72.0,192.3,4.1,21.7,154.9,0.0,0.0,0.0
twist,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,350,530,500,500,500,420,560,500,500,470,500,500,500,580,440,500,500,6.0,0.0,363.6,37.8,72.0,192.3,37.8,-72.0,192.3,7.7,-21.7,154.9,0.0,0.0,0.0
twist,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,5,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
stepping,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
stepping,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,320,500,500,522,518,500,500,500,500,500,530,590,455,500,500,500,500,14.0,0.0,373.5,16.0,72.0,198.5,16.0,-72.0,198.5,9.7,0.0,162.5,8.0,0.0,0.0
stepping,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,320,500,530,590,455,500,500,500,500,500,500,522,518,500,500,500,500,10.0,0.0,372.8,12.0,72.0,197.8,12.0,-72.0,197.8,13.7,0.0,161.3,4.0,0.0,0.0
stepping,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,320,500,500,517,514,500,500,500,500,500,523,570,465,500,500,500,500,16.0,0.0,373.7,18.0,72.0,198.7,18.0,-72.0,198.7,12.7,0.0,162.2,10.0,0.0,0.0
stepping,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,5,350,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
left_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
left_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,320,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,5.0,372.0,8.0,77.0,197.0,8.0,-67.0,197.0,5.9,-2.1,160.0,0.0,5.0,0.0
left_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,320,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,10.0,372.0,8.0,82.0,197.0,8.0,-62.0,197.0,5.9,2.9,160.0,0.0,10.0,0.0
left_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,10.0,373.0,8.0,82.0,198.0,8.0,-62.0,198.0,5.9,10.0,160.6,0.0,10.0,0.0
right_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
right_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,320,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-5.0,372.0,8.0,67.0,197.0,8.0,-77.0,197.0,5.9,2.1,160.0,0.0,-5.0,0.0
right_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,320,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-10.0,372.0,8.0,62.0,197.0,8.0,-82.0,197.0,5.9,-2.9,160.0,0.0,-10.0,0.0
right_move_10,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,-10.0,373.0,8.0,62.0,198.0,8.0,-82.0,198.0,5.9,-10.0,160.6,0.0,-10.0,0.0
left_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
left_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,380,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,10.0,372.0,8.0,82.0,197.0,8.0,-62.0,197.0,5.9,2.9,160.0,0.0,10.0,0.0
left_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,380,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,20.0,372.0,8.0,92.0,197.0,8.0,-52.0,197.0,5.9,12.9,160.0,0.0,20.0,0.0
left_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,20.0,373.0,8.0,92.0,198.0,8.0,-52.0,198.0,5.9,20.0,160.6,0.0,20.0,0.0
right_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
right_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,380,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-10.0,372.0,8.0,62.0,197.0,8.0,-82.0,197.0,5.9,-2.9,160.0,0.0,-10.0,0.0
right_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,380,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-20.0,372.0,8.0,52.0,197.0,8.0,-92.0,197.0,5.9,-12.9,160.0,0.0,-20.0,0.0
right_move_20,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,-20.0,373.0,8.0,52.0,198.0,8.0,-92.0,198.0,5.9,-20.0,160.6,0.0,-20.0,0.0
left_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
left_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,360,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,7.5,372.0,8.0,79.5,197.0,8.0,-64.5,197.0,5.9,0.4,160.0,0.0,7.5,0.0
left_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,360,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,15.0,372.0,8.0,87.0,197.0,8.0,-57.0,197.0,5.9,7.9,160.0,0.0,15.0,0.0
left_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,15.0,373.0,8.0,87.0,198.0,8.0,-57.0,198.0,5.9,15.0,160.6,0.0,15.0,0.0
right_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
right_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,360,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-7.5,372.0,8.0,64.5,197.0,8.0,-79.5,197.0,5.9,-0.4,160.0,0.0,-7.5,0.0
right_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,360,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-15.0,372.0,8.0,57.0,197.0,8.0,-87.0,197.0,5.9,-7.9,160.0,0.0,-15.0,0.0
right_move,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,-15.0,373.0,8.0,57.0,198.0,8.0,-87.0,198.0,5.9,-15.0,160.6,0.0,-15.0,0.0
go_forward_one_small_step,happy/高兴/neutral/中性/surprised/惊讶,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_forward_one_small_step,happy/高兴/neutral/中性/surprised/惊讶,2,360,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,18.5,0.0,373.6,20.5,72.0,198.6,20.5,-72.0,198.6,14.7,0.0,162.4,12.5,0.0,0.0
go_forward_one_small_step,happy/高兴/neutral/中性/surprised/惊讶,3,360,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,31.0,0.0,373.0,33.0,72.0,198.0,33.0,-72.0,198.0,34.4,0.0,161.3,25.0,0.0,0.0
go_forward_one_small_step,happy/高兴/neutral/中性/surprised/惊讶,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,31.0,0.0,373.0,33.0,72.0,198.0,33.0,-72.0,198.0,30.9,0.0,160.6,25.0,0.0,0.0
go_forward_one_step,happy/高兴/neutral/中性,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_forward_one_step,happy/高兴/neutral/中性,2,400,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,28.5,0.0,373.6,30.5,72.0,198.6,30.5,-72.0,198.6,24.7,0.0,162.4,22.5,0.0,0.0
go_forward_one_step,happy/高兴/neutral/中性,3,400,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,51.0,0.0,373.0,53.0,72.0,198.0,53.0,-72.0,198.0,54.4,0.0,161.3,45.0,0.0,0.0
go_forward_one_step,happy/高兴/neutral/中性,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,51.0,0.0,373.0,53.0,72.0,198.0,53.0,-72.0,198.0,50.9,0.0,160.6,45.0,0.0,0.0
go_forward,,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
go_forward,,2,380,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,32.7,0.0,373.6,34.7,72.0,198.6,34.7,-72.0,198.6,28.8,0.0,162.4,26.7,0.0,0.0
go_forward,,3,380,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,59.3,0.0,373.0,61.3,72.0,198.0,61.3,-72.0,198.0,62.7,0.0,161.3,53.3,0.0,0.0
go_forward,,4,380,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,86.0,0.0,373.6,88.0,72.0,198.6,88.0,-72.0,198.6,82.2,0.0,162.4,80.0,0.0,0.0
go_forward,,5,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,86.0,0.0,373.0,88.0,72.0,198.0,88.0,-72.0,198.0,85.9,0.0,160.6,80.0,0.0,0.0
back_one_step,happy/高兴/neutral/中性/surprised/惊讶,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
back_one_step,happy/高兴/neutral/中性/surprised/惊讶,2,360,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,-16.5,0.0,373.6,-14.5,72.0,198.6,-14.5,-72.0,198.6,-20.3,0.0,162.4,-22.5,0.0,0.0
back_one_step,happy/高兴/neutral/中性/surprised/惊讶,3,360,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,-39.0,0.0,373.0,-37.0,72.0,198.0,-37.0,-72.0,198.0,-35.6,0.0,161.3,-45.0,0.0,0.0
back_one_step,happy/高兴/neutral/中性/surprised/惊讶,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,-39.0,0.0,373.0,-37.0,72.0,198.0,-37.0,-72.0,198.0,-39.1,0.0,160.6,-45.0,0.0,0.0
back_fast,,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
